,count,mean,std,min,25%,50%,75%,max
mean,60000.0,0.54685,0.13843,0.30087,0.44339,0.49199,0.70586,0.84296
std,60000.0,0.07294,0.02807,0.01778,0.03831,0.07734,0.09032,0.18817
cv,60000.0,0.15019,0.07324,0.02259,0.05109,0.16393,0.2019,0.40577
amp,60000.0,0.22123,0.08461,0.05194,0.12229,0.23287,0.27792,0.54475
sen,60000.0,-0.00024,0.00171,-0.01705,-0.00068,-0.00011,0.00043,0.01773
mk_z,60000.0,-0.19812,1.3998,-14.31491,-0.77639,-0.12259,0.48736,31.67847
restrend,60000.0,-6e-05,0.00177,-0.01665,-0.00051,9e-05,0.00069,0.01743
cyc_score,60000.0,0.54052,0.11028,0.0453,0.4764,0.54743,0.61314,0.91897
cyc_enrichment,60000.0,1.38991,0.28359,0.11649,1.22503,1.40767,1.57665,2.36306
cyc_period,60000.0,7.19909,1.1942,4.0,7.2,7.2,7.2,12.0
has_break,60000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
break_t,60000.0,0.52034,0.26836,0.11111,0.25,0.52778,0.86111,0.86111
break_dslope,60000.0,-0.01462,0.03187,-0.10112,-0.03966,-0.00809,0.00105,0.17385
break_gain,60000.0,0.16551,0.07049,0.03655,0.12301,0.15202,0.18926,0.81316
has_disturbance,60000.0,0.79337,0.40489,0.0,1.0,1.0,1.0,1.0
recovery_fraction,60000.0,0.47069,0.66008,0.0,0.0,0.15059,0.80428,8.42822
recovery_slope,60000.0,0.00514,0.01704,-0.01698,0.0,0.0,0.00413,0.22365
disturbance_magnitude,60000.0,0.14183,0.11409,0.0,0.05929,0.10844,0.23568,0.53782
