,importance
std,0.254208756138667
cv,0.1898518877956113
amp,0.1783855811266976
break_t,0.09753689864693824
mean,0.08240327061013526
restrend,0.05080133956866149
disturbance_magnitude,0.04228739184644731
sen,0.020684566938855765
break_dslope,0.01934292305498104
cyc_period,0.018405270823038812
cyc_enrichment,0.012801601521679695
break_gain,0.01258916653085348
cyc_score,0.01097910471893435
mk_z,0.005767979197767685
recovery_fraction,0.0016012435745842244
has_disturbance,0.001349071014240199
recovery_slope,0.0010039468919066348
has_break,0.0
