parameter,value,is_baseline,n_pixels,mean_sen_slope,significant_trend_fraction,periodic_fraction,restrend_significant_fraction,break_fraction,disturbance_fraction,trajectory_stable_fraction,trajectory_degrading_fraction,trajectory_recovering_fraction,trajectory_cyclic_fraction,trajectory_uncertain_fraction,accuracy,f1_macro,f1_weighted,fold_f1_macro_mean,fold_f1_macro_std,description
(baseline),,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,
trend.alpha,0.01,False,600,-6.528469384647906e-05,0.39500001072883606,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,Mann-Kendall significance level
trend.alpha,0.05,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,Mann-Kendall significance level
trend.alpha,0.1,False,600,-6.528469384647906e-05,0.4566666781902313,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,Mann-Kendall significance level
trend.min_obs,8.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum valid observations for a trend test
trend.min_obs,10.0,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum valid observations for a trend test
trend.min_obs,14.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum valid observations for a trend test
restrend.min_r2,0.05,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum NDVI~rainfall partial r2 for a valid RESTREND
restrend.min_r2,0.1,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum NDVI~rainfall partial r2 for a valid RESTREND
restrend.min_r2,0.2,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.398333340883255,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,minimum NDVI~rainfall partial r2 for a valid RESTREND
cyclicity.min_period,3.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.0,0.4583333432674408,1.0,0.7649999856948853,0.42,0.22666666666666666,0.23666666666666666,0.0,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,lower edge of the periodicity band (time steps)
cyclicity.min_period,4.0,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,lower edge of the periodicity band (time steps)
cyclicity.min_period,5.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.11833333224058151,0.4583333432674408,1.0,0.7649999856948853,0.345,0.22666666666666666,0.23666666666666666,0.08,0.11166666666666666,0.9966666666666667,0.9966666377309792,0.9966666377309792,0.9969794704578062,0.003699380426682629,lower edge of the periodicity band (time steps)
cyclicity.max_period,10.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.02500000037252903,0.4583333432674408,1.0,0.7649999856948853,0.405,0.22666666666666666,0.23666666666666666,0.016666666666666666,0.115,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,upper edge of the periodicity band (time steps)
cyclicity.max_period,12.0,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,upper edge of the periodicity band (time steps)
cyclicity.max_period,14.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,upper edge of the periodicity band (time steps)
cyclicity.periodicity_threshold,1.5,False,600,-6.528469384647906e-05,0.4300000071525574,0.2266666740179062,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,spectral enrichment required to call a series cyclic
cyclicity.periodicity_threshold,2.0,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,spectral enrichment required to call a series cyclic
cyclicity.periodicity_threshold,3.0,False,600,-6.528469384647906e-05,0.4300000071525574,0.0,0.4583333432674408,1.0,0.7649999856948853,0.42,0.22666666666666666,0.23666666666666666,0.0,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,spectral enrichment required to call a series cyclic
breakpoint.min_variance_gain,0.03,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,variance a two-segment fit must explain to be a break
breakpoint.min_variance_gain,0.05,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,variance a two-segment fit must explain to be a break
breakpoint.min_variance_gain,0.1,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,variance a two-segment fit must explain to be a break
recovery.recovery_threshold,0.7,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,share of pre-disturbance level counted as recovered
recovery.recovery_threshold,0.8,True,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,share of pre-disturbance level counted as recovered
recovery.recovery_threshold,0.9,False,600,-6.528469384647906e-05,0.4300000071525574,0.004999999888241291,0.4583333432674408,1.0,0.7649999856948853,0.415,0.22666666666666666,0.23666666666666666,0.005,0.11666666666666667,0.9983333333333333,0.9983333043976458,0.9983333043976459,0.998488413547237,0.003023172905525806,share of pre-disturbance level counted as recovered
