,importance
restrend_r2,0.11541905222968189
mk_tau,0.09874441211068594
restrend,0.0866118290967474
ols_slope,0.08416007219286223
cyc_band_power,0.07401619234638816
sen,0.06782963029158096
cyc_total_power,0.06776404260955796
std,0.06268916315737268
amp,0.05618166140405671
cv,0.049368913334154975
restrend_beta,0.045592072902281955
restrend_p_value,0.03872498719053431
mean,0.034479820651175774
minimum_ndvi,0.0322068661780342
mk_z,0.029922223077734917
median_ndvi,0.02427342135866358
mk_p_value,0.006943677994183106
restrend_significant,0.006579485626472805
trend_direction,0.006148172941649458
mk_significant,0.00413732964647104
cyc_score,0.0031312437146708725
maximum_ndvi,0.0022623611216478243
cyc_period,0.0014493389421755929
cyc_enrichment,0.0013640298812156934
cyclicity_periodic,0.0
