,importance
restrend_r2,0.08261198981149227
mk_tau,0.07386559813718827
restrend,0.07299069124907005
ols_slope,0.07255734952363165
cyc_band_power,0.06419612462615974
cyc_total_power,0.06331771052598878
sen,0.06031934026667467
std,0.0556010170276501
amp,0.04779650935880142
restrend_beta,0.04704183107412798
cv,0.043401718318876965
mk_z,0.03790618417335305
restrend_p_value,0.036740998505729684
minimum_ndvi,0.032549166242742886
mean,0.03198826353518219
post_breakpoint_minimum,0.031260070885584426
median_ndvi,0.022238154509323007
pre_breakpoint_level,0.01525987770110952
mk_p_value,0.014094270987486435
breakpoint_index,0.01206360888260304
break_t,0.009851102982067553
recovery_status,0.008914528647440806
trend_direction,0.00860880539326348
mk_significant,0.00848853532773078
restrend_significant,0.007852863415809827
disturbance_magnitude,0.007754509680330634
break_gain,0.007633030823803755
break_dslope,0.0045943449741258965
cyc_enrichment,0.004152411880180964
cyc_score,0.003560905589103839
maximum_ndvi,0.003132580278554612
breakpoint_significant,0.003077801874683275
cyc_period,0.0009560129561623412
recovery_fraction,0.0008784150739545119
recovery_magnitude,0.0008145751402260792
recovery_slope,0.0008119311362072213
has_disturbance,0.0007901338661070016
recovery_duration,0.0003270356174712986
has_break,0.0
cyclicity_periodic,0.0
