,importance
restrend_r2,0.13826711019384785
mk_tau,0.08942476398288339
ols_slope,0.08069515627059619
restrend,0.07995254366013073
sen,0.07682826180418573
mk_z,0.07485286088828817
std,0.07233865956872962
restrend_beta,0.06478127171214464
mean,0.06175872629995292
cv,0.05199042792701586
minimum_ndvi,0.04575525569177894
amp,0.04238128716587641
median_ndvi,0.04207846725326444
restrend_p_value,0.02751615672839103
mk_p_value,0.024373964045629085
restrend_significant,0.014942857579689254
trend_direction,0.005502301273296442
mk_significant,0.003818219673095974
maximum_ndvi,0.0027417082812034293
