,count,mean,std,min,25%,50%,75%,max
mean,3000.0,0.54985,0.13911,0.34411,0.44492,0.49399,0.71094,0.83876
median_ndvi,3000.0,0.55048,0.13948,0.33348,0.44556,0.49518,0.71013,0.84194
minimum_ndvi,3000.0,0.40717,0.18346,0.14975,0.2731,0.32595,0.63639,0.78012
maximum_ndvi,3000.0,0.71147,0.09179,0.45631,0.64365,0.69245,0.78239,0.94153
std,3000.0,0.07223,0.02802,0.02091,0.03748,0.07698,0.08913,0.18111
cv,3000.0,0.14822,0.07334,0.02623,0.05034,0.16195,0.20024,0.36618
amp,3000.0,0.21939,0.08466,0.05989,0.11868,0.23167,0.27622,0.52246
sen,3000.0,-0.00021,0.00165,-0.01663,-0.00067,-0.00011,0.00044,0.01718
ols_slope,3000.0,-0.00022,0.00168,-0.01637,-0.00067,-6e-05,0.00047,0.01678
mk_z,3000.0,-0.194,1.51692,-11.41639,-0.76284,-0.12285,0.51377,31.67847
mk_p_value,3000.0,0.50549,0.30297,0.0,0.25823,0.52205,0.7622,1.0
mk_tau,3000.0,-0.01862,0.13039,-0.83175,-0.07302,-0.01429,0.04921,0.82857
mk_significant,3000.0,0.10333,0.30444,0.0,0.0,0.0,0.0,1.0
trend_direction,3000.0,-0.10533,0.99393,-1.0,-1.0,-1.0,1.0,1.0
rain_mean,3000.0,1758.78503,125.7404,1537.18274,1650.99185,1756.66669,1867.5033,1976.05017
rain_std,3000.0,254.57004,18.20814,221.56355,238.81201,254.43098,270.53725,287.12274
rain_cv,3000.0,0.14474,0.00027,0.1437,0.14456,0.14475,0.14492,0.14574
rain_sen,3000.0,-0.9459,0.12016,-1.31714,-1.03381,-0.94868,-0.86628,-0.49378
rain_ndvi_correlation,3000.0,0.65057,0.26705,-0.1627,0.45228,0.69677,0.89588,0.96466
restrend,3000.0,-4e-05,0.0017,-0.01624,-0.00051,0.00011,0.0007,0.01688
restrend_p_value,3000.0,0.40211,0.3077,0.0,0.10785,0.38037,0.66331,0.99974
restrend_r2,3000.0,0.50809,0.30826,0.0,0.22806,0.49959,0.81682,0.93506
restrend_beta,3000.0,0.00018,0.0001,-7e-05,8e-05,0.00018,0.00027,0.00039
restrend_significant,3000.0,0.169,0.37481,0.0,0.0,0.0,0.0,1.0
cyc_score,3000.0,0.53867,0.11001,0.10881,0.47387,0.54615,0.61198,0.87208
cyc_enrichment,3000.0,1.38514,0.28287,0.27979,1.21851,1.40439,1.57366,2.24249
cyc_period,3000.0,7.21799,1.18654,4.0,7.2,7.2,7.2,12.0
cyc_band_power,3000.0,2.17675,1.63373,0.04459,0.46697,2.07119,2.82846,8.56365
cyc_total_power,3000.0,3.76427,2.45877,0.28326,0.92259,3.81489,4.98978,12.20202
cyclicity_periodic,3000.0,0.00867,0.09271,0.0,0.0,0.0,0.0,1.0
has_break,3000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
break_t,3000.0,0.51602,0.26605,0.11111,0.25,0.52778,0.83333,0.86111
break_dslope,3000.0,-0.01464,0.03094,-0.0803,-0.03876,-0.00706,0.00119,0.12842
break_gain,3000.0,0.16525,0.06732,0.04912,0.12318,0.15318,0.1888,0.66767
breakpoint_index,3000.0,18.57667,9.57789,4.0,9.0,19.0,30.0,31.0
breakpoint_significant,3000.0,0.02467,0.15513,0.0,0.0,0.0,0.0,1.0
pre_breakpoint_level,3000.0,0.57287,0.14248,0.24391,0.46351,0.56127,0.69611,0.88601
post_breakpoint_minimum,3000.0,0.42574,0.18199,0.14975,0.28824,0.3518,0.64514,0.81644
disturbance_magnitude,3000.0,0.14245,0.11511,0.0,0.05791,0.10885,0.23575,0.4451
has_disturbance,3000.0,0.788,0.40879,0.0,1.0,1.0,1.0,1.0
recovery_magnitude,3000.0,0.08078,0.09798,0.0,0.0,0.03498,0.15689,0.47538
recovery_fraction,3000.0,0.46521,0.64612,0.0,0.0,0.1577,0.80999,8.42822
recovery_duration,3000.0,0.94633,1.40764,0.0,0.0,0.0,2.0,8.0
recovery_slope,3000.0,0.00508,0.01652,-0.01002,0.0,0.0,0.00433,0.19102
recovery_status,3000.0,1.60067,1.50885,0.0,1.0,1.0,4.0,4.0
n_valid_ndvi,3000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
n_valid_pairs,3000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
