feature,permutation_macro_f1_drop,impurity_importance,rank_impurity,rank_permutation
amp,0.0,0.04285530970829833,9.0,23.0
break_dslope,0.0,0.0019742552486432426,35.0,23.0
break_gain,0.0,0.019517830306230544,19.0,23.0
break_t,0.0,0.008309929574722619,24.0,23.0
breakpoint_index,0.0,0.011575350274911946,22.0,23.0
breakpoint_significant,0.0,0.006643259108739064,30.0,23.0
cv,0.0,0.06179178026135845,3.0,23.0
cyc_band_power,0.0,0.05975357313243605,5.0,23.0
cyc_enrichment,0.0,0.002921206725730629,33.0,23.0
cyc_period,0.0,0.0,44.0,23.0
cyc_score,0.0,0.01086427361849098,23.0,23.0
cyc_total_power,0.0,0.08105673356835327,1.0,23.0
cyclicity_periodic,0.0,0.0,44.0,23.0
disturbance_magnitude,0.0,0.008169458232674832,26.0,23.0
has_break,0.0,0.0,44.0,23.0
has_disturbance,0.0,0.003354016213978437,31.0,23.0
maximum_ndvi,0.0,0.007066000914760354,27.0,23.0
mean,0.0,0.03501134298584689,14.0,23.0
median_ndvi,0.0,0.039188131444797596,11.0,23.0
minimum_ndvi,0.0,0.028267471392827318,18.0,23.0
mk_p_value,0.0,0.015907600700854254,20.0,23.0
mk_significant,0.0,0.006825539657491009,28.0,23.0
mk_tau,0.0,0.05648684718903868,8.0,23.0
mk_z,0.0,0.06131759705120016,4.0,23.0
ols_slope,0.0,0.06663466445014368,2.0,23.0
post_breakpoint_minimum,0.0,0.03312972266412391,16.0,23.0
pre_breakpoint_level,0.0,0.008283866367995454,25.0,23.0
rain_cv,0.0,0.001354487538906948,36.0,23.0
rain_mean,0.0,0.0007740325546372391,38.0,23.0
rain_ndvi_correlation,0.0,0.05847739807967072,6.0,23.0
rain_sen,0.0,0.00032932305114846347,41.0,23.0
rain_std,0.0,0.0001417892045528286,42.0,23.0
recovery_duration,0.0,0.00108605129544037,37.0,23.0
recovery_fraction,0.0,0.0005285380887002333,39.0,23.0
recovery_magnitude,0.0,0.0024501866037741115,34.0,23.0
recovery_slope,0.0,0.00039882327604089465,40.0,23.0
recovery_status,0.0,0.011647198701115717,21.0,23.0
restrend,0.0,0.05757411796553967,7.0,23.0
restrend_beta,0.0,0.04100579602717142,10.0,23.0
restrend_p_value,0.0,0.028450476814672533,17.0,23.0
restrend_r2,0.0,0.0344765753755954,15.0,23.0
restrend_significant,0.0,0.0030838141901657866,32.0,23.0
sen,0.0,0.03884089061688292,12.0,23.0
std,0.0,0.03579172071734607,13.0,23.0
trend_direction,0.0,0.006683019104991054,29.0,23.0
