feature,importance_mean,importance_std,n_folds
amp,0.0,0.0,4
break_dslope,0.0,0.0,4
break_gain,0.0,0.0,4
break_t,0.0,0.0,4
breakpoint_index,0.0,0.0,4
breakpoint_significant,0.0,0.0,4
cv,0.0,0.0,4
cyc_band_power,0.0,0.0,4
cyc_enrichment,0.0,0.0,4
cyc_period,0.0,0.0,4
cyc_score,0.0,0.0,4
cyc_total_power,0.0,0.0,4
cyclicity_periodic,0.0,0.0,4
disturbance_magnitude,0.0,0.0,4
has_break,0.0,0.0,4
has_disturbance,0.0,0.0,4
maximum_ndvi,0.0,0.0,4
mean,0.0,0.0,4
median_ndvi,0.0,0.0,4
minimum_ndvi,0.0,0.0,4
mk_p_value,0.0,0.0,4
mk_significant,0.0,0.0,4
mk_tau,0.0,0.0,4
mk_z,0.0,0.0,4
ols_slope,0.0,0.0,4
post_breakpoint_minimum,0.0,0.0,4
pre_breakpoint_level,0.0,0.0,4
rain_cv,0.0,0.0,4
rain_mean,0.0,0.0,4
rain_ndvi_correlation,0.0,0.0,4
rain_sen,0.0,0.0,4
rain_std,0.0,0.0,4
recovery_duration,0.0,0.0,4
recovery_fraction,0.0,0.0,4
recovery_magnitude,0.0,0.0,4
recovery_slope,0.0,0.0,4
recovery_status,0.0,0.0,4
restrend,0.0,0.0,4
restrend_beta,0.0,0.0,4
restrend_p_value,0.0,0.0,4
restrend_r2,0.0,0.0,4
restrend_significant,0.0,0.0,4
sen,0.0,0.0,4
std,0.0,0.0,4
trend_direction,0.0,0.0,4
