,importance
restrend,0.15015820184345938
std,0.14251434143316358
sen,0.12162620111140411
cv,0.11851959796987879
amp,0.09637897458395256
mk_z,0.08912333197880443
break_t,0.06493057445706778
mean,0.057597186184390914
break_gain,0.04624066165973699
cyc_enrichment,0.03248920768545077
cyc_score,0.02951713158261353
disturbance_magnitude,0.02430765518048558
break_dslope,0.015644653541280678
cyc_period,0.004305252667775392
recovery_fraction,0.0038985750052536816
has_disturbance,0.0013898104161748069
recovery_slope,0.0013586426991070418
has_break,0.0
