,importance
restrend_r2,0.11471096099584116
sen,0.1077665809545351
ols_slope,0.09067496305212809
mk_tau,0.07690899220457072
std,0.07682802852370367
restrend,0.07593363290211513
median_ndvi,0.07583592804215482
cv,0.07346848581573477
amp,0.05144698044215446
minimum_ndvi,0.04696556066871125
restrend_p_value,0.04398221030946859
mean,0.04230226388397202
restrend_beta,0.04006020199817261
mk_z,0.028626802354326852
mk_p_value,0.025696378998101486
maximum_ndvi,0.010312865637637158
restrend_significant,0.009042330206790737
mk_significant,0.005489106377412553
trend_direction,0.0039477266324688355
