,importance
restrend_r2,0.10331064709597523
mk_tau,0.08369960358155978
cyc_total_power,0.08179802341321692
amp,0.07244143281173668
ols_slope,0.06699135539977724
cyc_band_power,0.06498694560177005
std,0.06427524986406859
restrend_p_value,0.0558294298284125
mk_z,0.055169548805792334
restrend,0.05360914372592043
cv,0.05003259688487776
sen,0.04599674114357985
restrend_beta,0.04531204823712373
mean,0.036463914701394984
minimum_ndvi,0.03424854619213572
median_ndvi,0.026153099652272055
trend_direction,0.01832351793814846
mk_p_value,0.015488275185092049
maximum_ndvi,0.008681202271511767
restrend_significant,0.007871878691020816
mk_significant,0.005557535948352207
cyc_enrichment,0.0027105822462427497
cyc_score,0.0007624184231587545
cyc_period,0.00028626235685936657
cyclicity_periodic,0.0
