,importance
cyc_total_power,0.08105673356835327
ols_slope,0.06663466445014368
cv,0.06179178026135845
mk_z,0.06131759705120016
cyc_band_power,0.05975357313243605
rain_ndvi_correlation,0.05847739807967072
restrend,0.05757411796553967
mk_tau,0.05648684718903868
amp,0.04285530970829833
restrend_beta,0.04100579602717142
median_ndvi,0.039188131444797596
sen,0.03884089061688292
std,0.03579172071734607
mean,0.03501134298584689
restrend_r2,0.0344765753755954
post_breakpoint_minimum,0.03312972266412391
restrend_p_value,0.028450476814672533
minimum_ndvi,0.028267471392827318
break_gain,0.019517830306230544
mk_p_value,0.015907600700854254
recovery_status,0.011647198701115717
breakpoint_index,0.011575350274911946
cyc_score,0.01086427361849098
break_t,0.008309929574722619
pre_breakpoint_level,0.008283866367995454
disturbance_magnitude,0.008169458232674832
maximum_ndvi,0.007066000914760354
mk_significant,0.006825539657491009
trend_direction,0.006683019104991054
breakpoint_significant,0.006643259108739064
has_disturbance,0.003354016213978437
restrend_significant,0.0030838141901657866
cyc_enrichment,0.002921206725730629
recovery_magnitude,0.0024501866037741115
break_dslope,0.0019742552486432426
rain_cv,0.001354487538906948
recovery_duration,0.00108605129544037
rain_mean,0.0007740325546372391
recovery_fraction,0.0005285380887002333
recovery_slope,0.00039882327604089465
rain_sen,0.00032932305114846347
rain_std,0.0001417892045528286
cyc_period,0.0
has_break,0.0
cyclicity_periodic,0.0
