p_value,significant,observed_band_fraction,surrogate_mean_fraction,ar1_coefficient,enrichment,threshold_rule_flag
0.225,False,0.5379237991670767,0.44749240194316664,0.13419795793205108,1.3832326,False
0.175,False,0.5770062046940515,0.46710017134839243,0.15074819847742987,1.4837302,False
0.165,False,0.535902462343984,0.42063736162178234,0.05225978522588665,1.378035,False
0.325,False,0.49060287347736425,0.42971590888179556,0.07157726808381804,1.2615502,False
0.115,False,0.5744355242135041,0.41845430442276843,0.08620237428792572,1.4771199,False
0.13,False,0.5705394707300095,0.4377962998926747,0.11346699553975523,1.4671015,False
0.455,False,0.46126054141364253,0.43799022034650525,0.13950620654197407,1.1860986,False
0.165,False,0.5380907019027362,0.40655708628775084,0.04147736872976094,1.3836617,False
0.105,False,0.628334120046344,0.456487046507372,0.18306294218300367,1.6157163,False
0.55,False,0.4099178122461415,0.42667584585235846,0.09310369332379048,1.0540744,False
0.27,False,0.47740631735580985,0.4117949136946393,0.02148567692889933,1.2276162,False
0.18,False,0.5444611448804321,0.4215057543098291,0.12127435013058212,1.4000429,False
0.335,False,0.521630529057867,0.4754668599952506,0.2325443593186109,1.3413357,False
0.29,False,0.4529941169789652,0.3825198059665759,-0.03722811420082035,1.164842,False
0.085,False,0.6112833664959086,0.43980011196142454,0.17071159939555985,1.5718715,False
0.22,False,0.47340138128243486,0.37593706308934405,-0.03132534507713875,1.2173178,False
0.39,False,0.4989403682128777,0.45819162491862375,0.24720103028017623,1.2829895,False
0.275,False,0.49756551375669683,0.41971721354616925,0.07708207230850163,1.2794542,False
0.075,False,0.5692509746130457,0.4138651402384188,0.05880576710519705,1.4637883,False
0.12,False,0.6024256198966099,0.4447512311664995,0.1528013764769177,1.5490944,False
0.085,False,0.6244386890113265,0.4757666079607626,0.20231268957492438,1.6056995,False
0.145,False,0.5278428793632285,0.41422610559289175,0.05244534037153839,1.3573103,False
0.16,False,0.5956632855708702,0.47208039009887126,0.22585380451054096,1.5317056,False
0.155,False,0.610470633681451,0.47508503357458043,0.2257699758055194,1.5697817,False
0.1,False,0.5872743063958641,0.4444794584104411,0.14921997495911868,1.510134,False
0.155,False,0.5417646374174944,0.42119674342288066,0.07272316465029253,1.3931091,False
0.22,False,0.5432615707055255,0.4486378572583933,0.13855312446253953,1.3969584,False
0.1,False,0.5581811342698123,0.4206829946863109,0.08279090291721462,1.4353229,False
0.045,True,0.6887753883134149,0.49209562648087835,0.2861009188060023,1.7711368,False
0.08,False,0.6702620421240895,0.4864718137327448,0.23379510715905938,1.723531,False
0.3,False,0.43461131364967537,0.3636054849088582,-0.10347896834349431,1.117572,False
0.095,False,0.6129983622750543,0.46556664705153034,0.18592577625925114,1.5762815,False
0.17,False,0.5074248290083042,0.3977130991141652,0.008803260720807476,1.3048067,False
0.255,False,0.48718556796568596,0.40761531271009527,0.04076474007047432,1.2527629,False
0.41,False,0.39023646415247837,0.3594205781565748,-0.09896033542085865,1.0034652,False
