,importance
std,0.26156579569395727
cv,0.19647674444672494
amp,0.19220861740119205
break_t,0.08736743572784851
mean,0.0638165099699907
restrend,0.05578434510150766
disturbance_magnitude,0.04421424202193269
cyc_period,0.021651349220427184
sen,0.02005396162340858
break_dslope,0.01347022952870917
cyc_enrichment,0.01253551958958608
break_gain,0.011896253859911696
cyc_score,0.010485405883702115
mk_z,0.0052733869898164915
recovery_fraction,0.0014205101921970023
recovery_slope,0.0009612817680333481
has_disturbance,0.0008184109810545244
has_break,0.0
