,importance
cv,0.3485910526386641
amp,0.23396268567943007
std,0.1766719930612375
disturbance_magnitude,0.06356617764880798
break_t,0.05924881174911732
restrend,0.03254262632011462
sen,0.015585216897620876
cyc_enrichment,0.014849666173797595
cyc_period,0.013252532503512405
break_gain,0.010626725300201622
break_dslope,0.009482236168026301
mean,0.009464572193664955
cyc_score,0.006031152688753034
mk_z,0.004706972043024877
recovery_fraction,0.0007508067518908404
recovery_slope,0.0005598903745632285
has_disturbance,0.00010688180757271303
has_break,0.0
