,importance
amp,0.3697680362440353
std,0.19611589362951645
cv,0.16305261514425762
break_t,0.08121706513833987
disturbance_magnitude,0.07213995451422633
restrend,0.024516616090418778
sen,0.023078198720668467
break_gain,0.022289877284356472
cyc_enrichment,0.019544882056639342
cyc_period,0.014611838287903463
mean,0.003525071634511001
mk_z,0.0034987868348968685
break_dslope,0.002533776098341243
cyc_score,0.0023812791311079366
recovery_fraction,0.0008918472018752895
recovery_slope,0.0007172978962219251
has_disturbance,0.00011696409268367738
has_break,0.0
