,importance
mk_tau,0.07497099782426628
restrend,0.07028245283371723
rain_ndvi_correlation,0.06965697179997157
ols_slope,0.06836156846807247
sen,0.06433454532994146
restrend_r2,0.06249085336777641
cyc_band_power,0.06146735071895663
cyc_total_power,0.06041478875059612
std,0.04900948578671971
amp,0.0395549461054681
mean,0.03774033417015914
cv,0.036000283800409254
mk_z,0.03385367538907067
restrend_beta,0.03251564930018252
restrend_p_value,0.031755753735865186
post_breakpoint_minimum,0.029340267725938528
minimum_ndvi,0.028382308681387684
median_ndvi,0.02501041089497727
pre_breakpoint_level,0.014683443110603888
mk_p_value,0.012528553684996465
trend_direction,0.00995635210550666
break_gain,0.00981033336266339
break_t,0.009458186554482325
restrend_significant,0.009398081361240327
recovery_status,0.0090409685496373
breakpoint_index,0.008357384124084617
mk_significant,0.007749045813852209
disturbance_magnitude,0.006840680366530331
cyc_score,0.005367738463745658
cyc_enrichment,0.004288091658550282
break_dslope,0.004103941550399589
breakpoint_significant,0.00389484737081231
maximum_ndvi,0.0023884644224229155
has_disturbance,0.0012660001052253564
rain_mean,0.0011310677462712233
recovery_fraction,0.0010899763608624294
recovery_magnitude,0.0007734084788469506
rain_std,0.0006561322812407547
recovery_duration,0.0006107031491833552
cyc_period,0.0005982732720377722
rain_cv,0.00031375133812836604
recovery_slope,0.000311033456679559
rain_sen,0.00024089662851983274
has_break,0.0
cyclicity_periodic,0.0
