,importance
mk_tau,0.10371424338979769
cyc_band_power,0.08640731916937892
sen,0.07449296114738636
restrend_r2,0.07307572459692485
cyc_total_power,0.07184730845315893
ols_slope,0.0634734971921722
restrend,0.05942869380079422
mk_z,0.05767928961663173
restrend_beta,0.056250242202841055
std,0.0560956258074915
cv,0.05470039368188893
mean,0.04843524486784617
median_ndvi,0.039214403854614284
minimum_ndvi,0.0340099077406134
amp,0.028732808438036495
restrend_p_value,0.024359027319809573
mk_p_value,0.019351533783946846
restrend_significant,0.011642909680300491
cyc_enrichment,0.011244257626088383
maximum_ndvi,0.009878801115232252
cyc_score,0.008482356362151352
mk_significant,0.005143747007341438
trend_direction,0.002339703145552908
cyc_period,0.0
cyclicity_periodic,0.0
