,importance
cyc_total_power,0.09080189433896939
sen,0.08477240663793643
cyc_band_power,0.07478312068870326
ols_slope,0.06904494006958745
restrend_r2,0.06339151761813928
cv,0.05990277120340028
restrend,0.043441096373883555
mk_z,0.0429364173076243
restrend_beta,0.04246122293659469
mk_tau,0.039979227222235285
std,0.03698610908851351
pre_breakpoint_level,0.03407452706452022
mk_p_value,0.028752975861411623
amp,0.028114300760138277
minimum_ndvi,0.0280235520968571
mean,0.02793401162546834
median_ndvi,0.027757214029075643
post_breakpoint_minimum,0.024656267257704912
disturbance_magnitude,0.021475748736426017
restrend_p_value,0.020874571433320544
breakpoint_index,0.01817374058071195
break_gain,0.014860872228851548
trend_direction,0.01220367291727123
recovery_status,0.011206394834704274
cyc_enrichment,0.009309172358718592
maximum_ndvi,0.008452859401503117
mk_significant,0.007615319796765938
restrend_significant,0.006840366891103604
break_t,0.0055183585600282956
breakpoint_significant,0.004849058956161858
cyc_score,0.0034276827882988707
break_dslope,0.0019726626973550865
recovery_duration,0.0015347198926534726
recovery_magnitude,0.0011213113604922906
recovery_slope,0.0008651591246985896
has_disturbance,0.0008603225287109584
recovery_fraction,0.0005207121464563529
cyc_period,0.000503720585003874
has_break,0.0
cyclicity_periodic,0.0
