,importance
mk_tau,0.09799021219774708
cyc_total_power,0.07797597942251748
restrend,0.07698246775526046
restrend_r2,0.06254005987634684
cv,0.05512251533027607
rain_ndvi_correlation,0.05374258669620235
mk_z,0.049840558011006175
ols_slope,0.04618438062498858
sen,0.0432974158415639
cyc_band_power,0.04252898751380759
median_ndvi,0.0366388736770968
restrend_p_value,0.030813196376521006
mean,0.030748441492987628
amp,0.03021547022470406
minimum_ndvi,0.029098222966783827
restrend_beta,0.028935881221538645
pre_breakpoint_level,0.02304084431309249
std,0.021076246722755567
mk_p_value,0.02066142019174662
disturbance_magnitude,0.019369353905156313
restrend_significant,0.017848285444942876
break_gain,0.015170924986351537
post_breakpoint_minimum,0.015162800949082183
cyc_enrichment,0.014216864392280463
maximum_ndvi,0.010851444633821006
break_t,0.010717541636798047
break_dslope,0.009183713937618975
mk_significant,0.008429370969846138
cyc_score,0.003382853446554383
breakpoint_significant,0.0032899143784217845
recovery_status,0.003126822012879783
recovery_fraction,0.0026238173304885697
has_disturbance,0.002403736151703913
trend_direction,0.0014564785572402364
rain_std,0.001382731214639261
breakpoint_index,0.0012637603687601178
recovery_magnitude,0.0010566810979334101
rain_cv,0.0010113018189202
rain_mean,0.00040856590264963955
rain_sen,0.00020927640696798277
cyc_period,0.0
has_break,0.0
cyclicity_periodic,0.0
recovery_duration,0.0
recovery_slope,0.0
