,importance
restrend_r2,0.12205047684449574
ols_slope,0.08665008932049956
sen,0.08254327002977596
restrend,0.08224064813709614
amp,0.08001515384990737
mk_tau,0.07585203871107851
cv,0.07169787848870397
std,0.07160099044291893
restrend_p_value,0.06300025498375118
mk_z,0.046519484910300196
minimum_ndvi,0.045626920034666466
mean,0.04327229237872614
median_ndvi,0.0374181409536793
restrend_beta,0.037053448620428385
mk_p_value,0.02499552837291947
restrend_significant,0.008446195061182934
mk_significant,0.008205764300013779
trend_direction,0.007797867969838229
maximum_ndvi,0.005013556590017782
