p_value,significant,observed_band_fraction,surrogate_mean_fraction,enrichment,threshold_rule_flag
0.225,False,0.5379237991670767,0.44749240194316664,1.3832326,False
0.175,False,0.5770062046940515,0.46710017134839243,1.4837302,False
0.165,False,0.535902462343984,0.42063736162178234,1.378035,False
0.325,False,0.49060287347736425,0.42971590888179556,1.2615502,False
0.115,False,0.5744355242135041,0.41845430442276843,1.4771199,False
0.13,False,0.5705394707300095,0.4377962998926747,1.4671015,False
0.455,False,0.46126054141364253,0.43799022034650525,1.1860986,False
0.165,False,0.5380907019027362,0.40655708628775084,1.3836617,False
0.105,False,0.628334120046344,0.456487046507372,1.6157163,False
0.55,False,0.4099178122461415,0.42667584585235846,1.0540744,False
0.27,False,0.47740631735580985,0.4117949136946393,1.2276162,False
0.18,False,0.5444611448804321,0.4215057543098291,1.4000429,False
0.335,False,0.521630529057867,0.4754668599952506,1.3413357,False
0.29,False,0.4529941169789652,0.3825198059665759,1.164842,False
0.085,False,0.6112833664959086,0.43980011196142454,1.5718715,False
0.22,False,0.47340138128243486,0.37593706308934405,1.2173178,False
0.39,False,0.4989403682128777,0.45819162491862375,1.2829895,False
0.275,False,0.49756551375669683,0.41971721354616925,1.2794542,False
0.075,False,0.5692509746130457,0.4138651402384188,1.4637883,False
0.12,False,0.6024256198966099,0.4447512311664995,1.5490944,False
0.085,False,0.6244386890113265,0.4757666079607626,1.6056995,False
0.145,False,0.5278428793632285,0.41422610559289175,1.3573103,False
0.16,False,0.5956632855708702,0.47208039009887126,1.5317056,False
0.155,False,0.610470633681451,0.47508503357458043,1.5697817,False
0.1,False,0.5872743063958641,0.4444794584104411,1.510134,False
0.155,False,0.5417646374174944,0.42119674342288066,1.3931091,False
0.22,False,0.5432615707055255,0.4486378572583933,1.3969584,False
0.1,False,0.5581811342698123,0.4206829946863109,1.4353229,False
0.045,True,0.6887753883134149,0.49209562648087835,1.7711368,False
0.08,False,0.6702620421240895,0.4864718137327448,1.723531,False
0.3,False,0.43461131364967537,0.3636054849088582,1.117572,False
0.095,False,0.6129983622750543,0.46556664705153034,1.5762815,False
0.17,False,0.5074248290083042,0.3977130991141652,1.3048067,False
0.255,False,0.48718556796568596,0.40761531271009527,1.2527629,False
0.41,False,0.39023646415247837,0.3594205781565748,1.0034652,False
0.26,False,0.5289250568128875,0.43595477271346506,1.360093,False
0.075,False,0.59167343862053,0.4071566139969957,1.521446,False
0.155,False,0.5953466905882155,0.46638756558873545,1.5308915,False
0.18,False,0.5473629121973851,0.4443735641154416,1.4075047,False
0.245,False,0.5859122059922253,0.47750761513970036,1.5066314,False
0.99,False,0.24100020573157874,0.5119906396655887,0.6197148,False
0.145,False,0.59311895071118,0.4729940695396688,1.525163,False
0.11,False,0.5712869714310994,0.43436349020222226,1.4690236,False
0.355,False,0.5265199022465852,0.4702821234146122,1.3539083,False
0.895,False,0.31723966760034006,0.4959986640887191,0.8157591,False
0.28,False,0.5081488634678284,0.433913036480529,1.3066685,False
0.065,False,0.6500602257355839,0.454574386333722,1.6715834,False
1.0,False,0.1677961578420424,0.5008622991171907,0.43147585,False
0.995,False,0.1603939767102024,0.4671479733592351,0.41244164,False
0.075,False,0.6768514865030342,0.47208807786431306,1.7404753,False
0.055,False,0.6448398666046126,0.44455710105945684,1.6581596,False
0.405,False,0.48315915965461675,0.443586034456322,1.2424092,False
0.915,False,0.34259787813942105,0.5189408586842003,0.88096595,False
0.955,False,0.27401244517555995,0.49383304296930397,0.70460343,False
0.88,False,0.27645632524345115,0.4720525561913233,0.7108877,False
0.185,False,0.5428904596178028,0.4304263410025868,1.3960041,False
0.13,False,0.574598506350602,0.43325950404351043,1.4775391,False
0.045,True,0.683752462312913,0.4823622713826375,1.7582207,False
0.495,False,0.5268412306926675,0.5116625032351035,1.3547345,False
0.595,False,0.407802696092675,0.43598981547348725,1.0486355,False
0.765,False,0.3637774464112178,0.46191396380755173,0.9354277,False
0.42,False,0.42778203395181286,0.40237789815012426,1.100011,False
0.255,False,0.4857549581615232,0.4106241265328223,1.2490842,False
0.205,False,0.5164253093349358,0.4086053528602371,1.3279508,False
0.02,True,0.7151967938285112,0.479525638461857,1.8390775,False
0.925,False,0.2532006746778702,0.4328431947301436,0.65108746,False
0.97,False,0.2303554058882186,0.494186925965144,0.5923425,False
0.87,False,0.33569394962854915,0.5127387040577516,0.863213,False
0.985,False,0.21700478541841037,0.4842998818956006,0.5580123,False
0.06,False,0.6717581551329282,0.478297943065342,1.7273781,False
0.655,False,0.43591182851421983,0.4853010771336091,1.1209161,False
1.0,False,0.12498814366341224,0.47975498276590844,0.32139808,False
0.89,False,0.322031518470095,0.4783217236822733,0.8280811,False
0.11,False,0.5834846321683993,0.42825271738330545,1.5003891,False
0.775,False,0.36711127486891354,0.5036305773709351,0.9440004,False
0.89,False,0.322205334323175,0.4936467266175004,0.828528,False
0.84,False,0.35093113144074667,0.4827870994221734,0.90239435,False
0.9,False,0.338381824776859,0.5207904510469441,0.8701247,False
0.88,False,0.3298447606711424,0.5012271007323164,0.84817225,False
0.6,False,0.47375593843572816,0.5083580843254996,1.2182295,False
0.905,False,0.284931059539399,0.4529158580660082,0.73267984,False
0.71,False,0.39147049741008955,0.4710672109835398,1.0066384,False
0.785,False,0.3866970656832075,0.4815331114134199,0.9943639,False
0.955,False,0.3171423256152401,0.5060192373195022,0.81550884,False
0.52,False,0.4412446383720291,0.44019234931323126,1.134629,False
0.935,False,0.3089563505788068,0.5126808466797442,0.79445916,False
0.805,False,0.37710287767352135,0.49310296767558476,0.9696931,False
0.33,False,0.5191665703365201,0.46039064779867045,1.3349998,False
0.825,False,0.3441991947255807,0.4638643107956996,0.8850836,False
0.855,False,0.3476880514820046,0.46859026531026854,0.894055,False
0.29,False,0.5841211683567238,0.5100203776148144,1.5020258,False
0.87,False,0.3841706264016599,0.5123526594015304,0.9878673,False
0.675,False,0.4557498146857196,0.5083624366946078,1.171928,False
0.92,False,0.31162040172966493,0.498949748795387,0.8013096,False
0.07,False,0.6703001364148633,0.46815121330943166,1.7236289,False
0.915,False,0.30150800279151824,0.5075744039473004,0.7753063,False
0.925,False,0.3148648946253806,0.5039384189888503,0.80965257,False
0.8,False,0.3860160840015292,0.5051710720592825,0.9926128,False
0.955,False,0.30183537625220075,0.502975214578892,0.7761481,False
0.09,False,0.6011600355977439,0.44441519750437125,1.5458401,False
0.255,False,0.4709960954897421,0.39227835240178577,1.2111328,False
0.705,False,0.4326339804385351,0.49815648730169554,1.1124874,False
0.025,True,0.6897419786668273,0.46138749737632684,1.7736223,False
0.125,False,0.5722123544372847,0.4348648720990361,1.4714032,False
0.095,False,0.5856820359035582,0.42494933049281397,1.5060395,False
0.85,False,0.29745983291850636,0.432678104502647,0.7648967,False
0.965,False,0.26616707830023434,0.47188027787392145,0.68442965,False
0.035,True,0.6647201019071494,0.4358181946114004,1.7092803,False
0.315,False,0.45924234105935585,0.4061366858868362,1.1809089,False
0.54,False,0.4063532630119931,0.4251441552834216,1.0449084,False
0.235,False,0.5557483438580327,0.47254467858181715,1.4290671,False
0.265,False,0.513148589860031,0.4303190790991469,1.319525,False
0.91,False,0.30546076573377523,0.5014306220272317,0.78547055,False
1.0,False,0.1497419142322638,0.5043561452133345,0.38505062,False
0.855,False,0.3624212128897323,0.4979990439692749,0.93194026,False
0.1,False,0.588753438153173,0.42934567285099945,1.5139374,False
0.19,False,0.5525467087084383,0.4461141400020213,1.4208344,False
0.515,False,0.4825014240007223,0.4936306138586502,1.2407179,False
0.84,False,0.35656620068995476,0.47806768607064526,0.91688454,False
0.32,False,0.5675998770787091,0.5070317264446216,1.4595425,False
0.14,False,0.562347533750563,0.43461129490903155,1.4460365,False
0.69,False,0.4395213459791317,0.5062986179778249,1.1301978,False
0.085,False,0.6160112426344384,0.45085820890078615,1.584029,False
0.87,False,0.3100382554802999,0.4712865704664346,0.7972412,False
0.12,False,0.5738359050927322,0.44037635281035686,1.4755781,False
0.205,False,0.5219795470491654,0.43621581962169587,1.3422331,False
0.985,False,0.25581238317328053,0.49741012804695767,0.6578033,False
0.845,False,0.36314692934171405,0.5095251225316179,0.9338064,False
