,importance
restrend_r2,0.09357706003271432
cyc_total_power,0.08662143943353194
mk_tau,0.07888914282586255
sen,0.07202536094712489
ols_slope,0.06912935290297202
restrend,0.06468921834135936
median_ndvi,0.06206199861963425
std,0.06046740352119014
amp,0.06025294136534365
cyc_band_power,0.06012484749921273
minimum_ndvi,0.04203623005685078
restrend_p_value,0.041116463834216216
cv,0.03975488110833127
mk_z,0.03648427735663501
mean,0.03614981811929955
restrend_beta,0.032574032276956426
mk_p_value,0.0139374737119506
trend_direction,0.013868890257169864
mk_significant,0.013656739593397608
maximum_ndvi,0.008955875646781858
cyc_score,0.006493827295361549
cyc_enrichment,0.005499921888158295
restrend_significant,0.00163280336594507
cyc_period,0.0
cyclicity_periodic,0.0
