,importance
mk_tau,0.10390786658005809
cyc_total_power,0.07171590381462804
ols_slope,0.0697318349568972
restrend_r2,0.06493853671285463
sen,0.060793878937674795
std,0.05855488903277744
cyc_band_power,0.05057305713051679
cv,0.04520364063991116
minimum_ndvi,0.04390555142729403
mk_z,0.04267186730147746
restrend_beta,0.039305126830078994
median_ndvi,0.039111307841626024
restrend,0.03700966731785683
amp,0.0298855355499253
post_breakpoint_minimum,0.026453630763016055
pre_breakpoint_level,0.023938395305805188
restrend_p_value,0.022189721787693423
break_t,0.021755354539201157
mk_p_value,0.021278616655808196
mean,0.02018847658727635
maximum_ndvi,0.01712534092070539
break_gain,0.014730428837709414
breakpoint_index,0.013632159174591216
restrend_significant,0.01271032254162873
breakpoint_significant,0.008779967475193122
recovery_status,0.007687712935161514
cyc_enrichment,0.007533510813633316
cyc_score,0.0052359999285732884
mk_significant,0.005178728699384267
trend_direction,0.0037229018664306345
disturbance_magnitude,0.003716425823439968
recovery_duration,0.002758815173796791
cyc_period,0.0016111865586839627
recovery_magnitude,0.0010358539782242121
has_disturbance,0.0007452774611983768
recovery_fraction,0.0004941070961625786
recovery_slope,0.0001112646691203907
break_dslope,7.713633398564898e-05
has_break,0.0
cyclicity_periodic,0.0
