,importance
ols_slope,0.08674865467656644
cyc_total_power,0.0840635642993685
cv,0.06525435316421989
restrend,0.06031560112269859
median_ndvi,0.05900571098043578
rain_ndvi_correlation,0.058694701097591534
sen,0.057952615980864486
mk_tau,0.0556929343852605
cyc_band_power,0.05157379393059549
mk_z,0.0478298446589755
std,0.04025505874161253
restrend_r2,0.03379770814061325
amp,0.03076437902412414
post_breakpoint_minimum,0.029097368798974305
mean,0.026156455566727244
restrend_p_value,0.025565464924712195
minimum_ndvi,0.024063469355834366
restrend_beta,0.023992874217291543
break_gain,0.019259190061264735
pre_breakpoint_level,0.01440014204164185
cyc_score,0.014110389597896414
disturbance_magnitude,0.01218767377620394
mk_p_value,0.011779673751494071
breakpoint_index,0.01046941739408871
break_t,0.010243500553167873
maximum_ndvi,0.006890705723167731
mk_significant,0.006841854519205521
breakpoint_significant,0.0052308354757604715
restrend_significant,0.004898058753061485
recovery_status,0.003885473496568257
cyc_enrichment,0.003699499544366039
recovery_fraction,0.002720064909377333
trend_direction,0.002676446976554255
break_dslope,0.002603138558522273
has_disturbance,0.001365477013160975
recovery_slope,0.0012893020204954426
recovery_duration,0.0012804229214798738
rain_cv,0.001115515239809342
recovery_magnitude,0.0009448983114165479
rain_mean,0.0007183835216971046
rain_std,0.0002861402425885301
rain_sen,0.0002792425305449424
cyc_period,0.0
has_break,0.0
cyclicity_periodic,0.0
