,importance
mk_tau,0.09812971122972673
cyc_total_power,0.08081881972639589
std,0.07822790368655957
cyc_band_power,0.07190347149269856
ols_slope,0.056198719150208486
mk_z,0.05573227547767465
restrend_r2,0.05348785008336636
sen,0.05102608770771733
restrend_beta,0.0475298712238657
minimum_ndvi,0.0456166492696224
cv,0.03992278272138941
post_breakpoint_minimum,0.03199244324064339
restrend,0.03161958469905295
mk_p_value,0.02939976476883674
restrend_p_value,0.028229951540111115
amp,0.027037605781415848
mean,0.02555532761960563
median_ndvi,0.025022684555867394
pre_breakpoint_level,0.018648412818101114
break_gain,0.017747209197652707
break_t,0.016758523982463726
disturbance_magnitude,0.010247682714582804
breakpoint_index,0.009358087073474158
mk_significant,0.008947477341032049
maximum_ndvi,0.0075067058937104214
recovery_status,0.006902916774022149
cyc_enrichment,0.006247092965804845
restrend_significant,0.006243826958352243
breakpoint_significant,0.0025636663434974198
cyc_score,0.002543320523710639
recovery_slope,0.0020999496155243557
recovery_magnitude,0.0015998982142897307
break_dslope,0.0014985602371888197
recovery_fraction,0.0014020776859165547
trend_direction,0.0013842938696941916
cyc_period,0.0007979348650485286
has_disturbance,5.0858951175406864e-05
cyclicity_periodic,0.0
has_break,0.0
recovery_duration,0.0
