p_value,significant,observed_band_fraction,surrogate_mean_fraction,ar1_coefficient,enrichment,threshold_rule_flag
0.25,False,0.4800009355629368,0.40113671799283773,0.08286265339612643,1.2342881,False
0.125,False,0.5997580008921458,0.46640149978044365,0.18004332402922538,1.5422349,False
0.225,False,0.540997942269454,0.4652334576025314,0.15832052389253834,1.3911376,False
0.275,False,0.5126942191781391,0.42135062049080985,0.06937273434246406,1.3183565,False
0.425,False,0.4249259875344506,0.40078772676809166,0.00027612303748029385,1.0926669,False
0.325,False,0.47563709264251136,0.42190519357821127,0.03118329138062072,1.2230668,False
0.2,False,0.5597766791444637,0.47359754107066554,0.23258411818193314,1.4394257,False
0.1,False,0.5928667302510319,0.44153674399821513,0.1489770293287057,1.5245144,False
0.075,False,0.6653456875072526,0.44207267831554914,0.15696067530158664,1.7108889,False
0.225,False,0.5538492212962691,0.46516340975413556,0.1934160314318503,1.4241837,False
0.35,False,0.5584307453106427,0.49056451690008174,0.15897878128430612,1.4359648,False
0.45,False,0.45235164174749937,0.4412587675727309,0.08818509891381253,1.1631899,False
0.25,False,0.5867942750298195,0.47615160402593976,0.09758881353147762,1.5088996,False
1.0,False,0.07776103720643186,0.47929463172185593,0.344279139013026,0.19995695,False
0.625,False,0.4364027969391833,0.4577171646321778,0.19222966330775954,1.1221787,False
0.975,False,0.23780504571482056,0.5497020152483414,0.5265521105101986,0.6114987,False
0.925,False,0.27645632524345115,0.4912377639899695,0.6367247878163382,0.7108877,False
0.95,False,0.2864149073774963,0.5050822448881007,0.5398852996039674,0.7364955,False
1.0,False,0.21832959833919172,0.5259496011504518,0.3462356572878916,0.56141895,False
0.825,False,0.308227192319582,0.46874829633904597,0.5796370333962906,0.7925842,False
0.925,False,0.3071408276101047,0.49648106928793057,0.3532131223835865,0.7897907,False
0.925,False,0.322031518470095,0.4859253013886067,0.26877302715316304,0.8280811,False
0.55,False,0.42445302501507753,0.43755995241708334,0.33008270441694804,1.0914507,False
0.8,False,0.3349166819424148,0.43827273229942965,0.19492428949289026,0.86121434,False
0.85,False,0.3797911950498184,0.522262206591753,0.5801781718423759,0.97660595,False
0.025,True,0.799629662284214,0.4693347530825187,0.34942001640186227,2.0561905,True
0.825,False,0.3483577451538791,0.5130686512413427,0.4364536125886413,0.89577705,False
0.375,False,0.46957600430694574,0.43298685516518715,0.1413301770597344,1.2074811,False
0.75,False,0.4326339804385351,0.5040984281618244,0.3441371750023823,1.1124874,False
0.05,False,0.7107766075640909,0.4431354287322371,0.18226274080649196,1.8277112,False
0.075,False,0.634313181040294,0.46717547331388376,0.1263240067175504,1.631091,False
0.8,False,0.3977739321294623,0.478360939030736,0.37296388951174,1.0228473,False
0.975,False,0.29634513403397933,0.48842123625938644,0.3494087505871383,0.76203036,False
0.075,False,0.6011303977772519,0.4490902173845826,0.15402359326677414,1.5457639,False
0.95,False,0.1954012852100896,0.4979743002541757,0.646408949529694,0.5024604,False
0.3,False,0.5230817641829876,0.44171220587389765,0.04717283137691221,1.3450674,False
0.15,False,0.600009770815213,0.44095830420625515,0.06007010989126285,1.5428823,False
0.55,False,0.5265754070266977,0.5385852925602094,0.30876103473965183,1.354051,False
0.375,False,0.44818595357931873,0.41009535135579495,-0.04590621988717634,1.1524782,False
0.8,False,0.33245906298452654,0.503457452209494,0.5271184181026205,0.85489476,False
1.0,False,0.2603790498214311,0.5339397423543739,0.4487817384938175,0.6695461,False
0.15,False,0.6182764861752106,0.47245621942945576,0.2875410000931977,1.5898538,False
0.175,False,0.6171093078217271,0.47104084280545916,0.2801133284483388,1.5868526,False
0.9,False,0.25117157523840317,0.48042243277179425,0.6840895452328364,0.6458698,False
0.275,False,0.5376665176934238,0.5058501945868888,0.31180855140492225,1.3825711,False
0.7,False,0.4050525670734739,0.49905395262630986,0.301914853810791,1.0415637,False
0.8,False,0.36014559276579833,0.4755934117848516,0.2932464903376223,0.9260887,False
0.5,False,0.5042494387882138,0.48653246996414207,0.4203417379083386,1.2966415,False
0.9,False,0.3256366803467681,0.4985914710444341,0.3752329536383354,0.83735144,False
0.8,False,0.33768045319159995,0.4687251718033464,0.21365585956231453,0.8683212,False
