,count,mean,std,min,25%,50%,75%,max
mean,3000.0,0.54464,0.13788,0.30087,0.44157,0.49052,0.70344,0.84296
median_ndvi,3000.0,0.54555,0.13836,0.30173,0.4426,0.49237,0.70216,0.84406
minimum_ndvi,3000.0,0.40102,0.18092,0.15513,0.27138,0.32247,0.62875,0.78124
maximum_ndvi,3000.0,0.70839,0.09234,0.41088,0.63785,0.68916,0.78139,0.92404
std,3000.0,0.07274,0.02752,0.02036,0.03934,0.07714,0.08861,0.16984
cv,3000.0,0.15003,0.07193,0.02522,0.05302,0.16391,0.19936,0.35254
amp,3000.0,0.22034,0.08307,0.05922,0.12811,0.2319,0.27391,0.52541
sen,3000.0,-0.00017,0.00174,-0.01585,-0.00068,-7e-05,0.00045,0.01597
ols_slope,3000.0,-0.00017,0.00177,-0.01547,-0.00067,-5e-05,0.0005,0.01582
mk_z,3000.0,-0.14867,1.44731,-8.10163,-0.76053,-0.08244,0.50766,26.74146
mk_p_value,3000.0,0.51041,0.30977,0.0,0.23612,0.52205,0.78528,1.0
mk_tau,3000.0,-0.01515,0.13232,-0.85079,-0.0746,-0.00952,0.05079,0.84444
mk_significant,3000.0,0.09267,0.29001,0.0,0.0,0.0,0.0,1.0
trend_direction,3000.0,-0.084,0.9963,-1.0,-1.0,-1.0,1.0,1.0
rain_mean,3000.0,1757.05383,127.68507,1537.18274,1645.46771,1755.91077,1869.63651,1976.76392
rain_std,3000.0,254.32579,18.47934,221.39676,238.17131,254.42545,270.82309,287.37354
rain_cv,3000.0,0.14475,0.00027,0.14375,0.14457,0.14476,0.14492,0.14564
rain_sen,3000.0,-0.94343,0.12001,-1.32737,-1.02445,-0.94632,-0.86062,-0.57734
rain_ndvi_correlation,3000.0,0.65447,0.2707,-0.21761,0.46269,0.71958,0.8952,0.95965
restrend,3000.0,1e-05,0.0018,-0.01538,-0.00049,0.00012,0.00072,0.01591
restrend_p_value,3000.0,0.39533,0.31151,0.0,0.10203,0.34613,0.66171,0.99997
restrend_r2,3000.0,0.51538,0.30963,0.0,0.23695,0.52869,0.81569,0.92168
restrend_beta,3000.0,0.00018,0.0001,-8e-05,8e-05,0.0002,0.00027,0.0004
restrend_significant,3000.0,0.17733,0.38201,0.0,0.0,0.0,0.0,1.0
cyc_score,3000.0,0.53838,0.11248,0.07776,0.47458,0.54357,0.61351,0.86445
cyc_enrichment,3000.0,1.38441,0.28923,0.19996,1.22035,1.39775,1.57759,2.22287
cyc_period,3000.0,7.18849,1.18916,4.0,7.2,7.2,7.2,12.0
cyc_band_power,3000.0,2.17809,1.59259,0.05246,0.50485,2.07956,2.82183,8.56599
cyc_total_power,3000.0,3.77405,2.38749,0.27277,1.02037,3.85177,4.89909,13.2709
cyclicity_periodic,3000.0,0.008,0.0891,0.0,0.0,0.0,0.0,1.0
has_break,3000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
break_t,3000.0,0.5236,0.26724,0.11111,0.25,0.52778,0.83333,0.86111
break_dslope,3000.0,-0.01497,0.03162,-0.08927,-0.03958,-0.0082,0.00098,0.13708
break_gain,3000.0,0.16599,0.07067,0.05197,0.12363,0.15164,0.18951,0.73999
breakpoint_index,3000.0,18.84967,9.62081,4.0,9.0,19.0,30.0,31.0
breakpoint_significant,3000.0,0.02567,0.15817,0.0,0.0,0.0,0.0,1.0
pre_breakpoint_level,3000.0,0.56561,0.14363,0.24652,0.45531,0.55116,0.68652,0.88249
post_breakpoint_minimum,3000.0,0.42051,0.17915,0.15513,0.28852,0.34789,0.63682,0.80817
disturbance_magnitude,3000.0,0.14094,0.11247,0.0,0.05958,0.1099,0.23347,0.46523
has_disturbance,3000.0,0.79567,0.40328,0.0,1.0,1.0,1.0,1.0
recovery_magnitude,3000.0,0.08123,0.09832,0.0,0.0,0.03453,0.15709,0.53971
recovery_fraction,3000.0,0.48554,0.68697,0.0,0.0,0.17797,0.80958,6.88034
recovery_duration,3000.0,0.905,1.36404,0.0,0.0,0.0,2.0,7.0
recovery_slope,3000.0,0.00469,0.016,-0.01497,0.0,0.0,0.0041,0.19799
recovery_status,3000.0,1.628,1.51472,0.0,1.0,1.0,4.0,4.0
n_valid_ndvi,3000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
n_valid_pairs,3000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
