,importance
restrend_r2,0.11986231313559854
restrend,0.10386370519766501
mk_tau,0.0994450727196675
ols_slope,0.0868133258746358
sen,0.08281664334411101
std,0.07368734347712844
amp,0.06362652457347244
restrend_beta,0.05573328103730757
cv,0.05545955456491001
restrend_p_value,0.05096205991494933
mean,0.04493322593290858
minimum_ndvi,0.0409733738003158
mk_z,0.039405387141346324
median_ndvi,0.03420847098936173
restrend_significant,0.014246985872321382
mk_p_value,0.014009795260191128
mk_significant,0.007961806657410003
trend_direction,0.006667153206220226
maximum_ndvi,0.005323977300479179
