feature,permutation_macro_f1_drop,impurity_importance,rank_impurity,rank_permutation
rain_ndvi_correlation,0.002188999291976761,0.06965697179997157,3.0,1.0
restrend_r2,0.0007102661315048621,0.06249085336777641,6.0,2.0
break_t,0.0,0.009458186554482325,23.0,18.5
break_dslope,0.0,0.004103941550399589,31.0,18.5
amp,0.0,0.0395549461054681,10.0,18.5
cyc_total_power,0.0,0.06041478875059612,8.0,18.5
cyc_band_power,0.0,0.06146735071895663,7.0,18.5
cyc_enrichment,0.0,0.004288091658550282,30.0,18.5
cyc_period,0.0,0.0005982732720377722,40.0,18.5
cyclicity_periodic,0.0,0.0,44.5,18.5
cyc_score,0.0,0.005367738463745658,29.0,18.5
breakpoint_index,0.0,0.008357384124084617,26.0,18.5
breakpoint_significant,0.0,0.00389484737081231,32.0,18.5
recovery_status,0.0,0.0090409685496373,25.0,18.5
restrend_beta,0.0,0.03251564930018252,14.0,18.5
disturbance_magnitude,0.0,0.006840680366530331,28.0,18.5
has_break,0.0,0.0,44.5,18.5
mean,0.0,0.03774033417015914,11.0,18.5
median_ndvi,0.0,0.02501041089497727,18.0,18.5
has_disturbance,0.0,0.0012660001052253564,34.0,18.5
maximum_ndvi,0.0,0.0023884644224229155,33.0,18.5
pre_breakpoint_level,0.0,0.014683443110603888,19.0,18.5
rain_cv,0.0,0.00031375133812836604,41.0,18.5
post_breakpoint_minimum,0.0,0.029340267725938528,16.0,18.5
recovery_fraction,0.0,0.0010899763608624294,36.0,18.5
rain_sen,0.0,0.00024089662851983274,43.0,18.5
rain_std,0.0,0.0006561322812407547,38.0,18.5
minimum_ndvi,0.0,0.028382308681387684,17.0,18.5
rain_mean,0.0,0.0011310677462712233,35.0,18.5
recovery_slope,0.0,0.000311033456679559,42.0,18.5
recovery_magnitude,0.0,0.0007734084788469506,37.0,18.5
std,0.0,0.04900948578671971,9.0,18.5
trend_direction,0.0,0.00995635210550666,21.0,18.5
recovery_duration,0.0,0.0006107031491833552,39.0,18.5
break_gain,-0.0003017886178861806,0.00981033336266339,22.0,35.0
cv,-0.0006035772357723612,0.036000283800409254,12.0,37.0
mk_tau,-0.0006035772357723612,0.07497099782426628,1.0,37.0
mk_significant,-0.0006035772357723612,0.007749045813852209,27.0,37.0
restrend_p_value,-0.0012082118168775225,0.031755753735865186,15.0,39.0
restrend,-0.001510529107430103,0.07028245283371723,2.0,40.0
mk_z,-0.0015110577800965031,0.03385367538907067,13.0,41.0
sen,-0.001511586452762903,0.06433454532994146,5.0,42.0
restrend_significant,-0.0018117890526498834,0.009398081361240327,24.0,43.0
ols_slope,-0.0018128463979826836,0.06836156846807247,4.0,44.0
mk_p_value,-0.0021135776705360643,0.012528553684996465,20.0,45.0
