feature,importance_mean,importance_std,n_folds
rain_ndvi_correlation,0.002188999291976761,0.005176869706926279,5
restrend_r2,0.0007102661315048621,0.0020304681733766977,5
break_t,0.0,0.0,5
break_dslope,0.0,0.0,5
amp,0.0,0.0,5
cyc_total_power,0.0,0.0,5
cyc_band_power,0.0,0.0,5
cyc_enrichment,0.0,0.0,5
cyc_period,0.0,0.0,5
cyclicity_periodic,0.0,0.0,5
cyc_score,0.0,0.0,5
breakpoint_index,0.0,0.0,5
breakpoint_significant,0.0,0.0,5
recovery_status,0.0,0.0,5
restrend_beta,0.0,0.0,5
disturbance_magnitude,0.0,0.0,5
has_break,0.0,0.0,5
mean,0.0,0.0,5
median_ndvi,0.0,0.0,5
has_disturbance,0.0,0.0,5
maximum_ndvi,0.0,0.0,5
pre_breakpoint_level,0.0,0.0,5
rain_cv,0.0,0.0,5
post_breakpoint_minimum,0.0,0.0,5
recovery_fraction,0.0,0.0,5
rain_sen,0.0,0.0,5
rain_std,0.0,0.0,5
minimum_ndvi,0.0,0.0,5
rain_mean,0.0,0.0,5
recovery_slope,0.0,0.0,5
recovery_magnitude,0.0,0.0,5
std,0.0,0.0,5
trend_direction,0.0,0.0,5
recovery_duration,0.0,0.0,5
break_gain,-0.0003017886178861806,0.0006748198644292087,5
cv,-0.0006035772357723612,0.0013496397288584173,5
mk_tau,-0.0006035772357723612,0.0013496397288584173,5
mk_significant,-0.0006035772357723612,0.0013496397288584173,5
restrend_p_value,-0.0012082118168775225,0.001654413221738907,5
restrend,-0.001510529107430103,0.0021367725957728992,5
mk_z,-0.0015110577800965031,0.0026181448031006517,5
sen,-0.001511586452762903,0.003380010062245626,5
restrend_significant,-0.0018117890526498834,0.0026998715022411705,5
ols_slope,-0.0018128463979826836,0.002703417945027763,5
mk_p_value,-0.0021135776705360643,0.003306291455252169,5
