,count,mean,std,min,25%,50%,75%,max
mean,60000.0,0.54685,0.13843,0.30087,0.44339,0.49199,0.70586,0.84296
median_ndvi,60000.0,0.54751,0.139,0.29361,0.44304,0.49308,0.70591,0.84966
minimum_ndvi,60000.0,0.40303,0.18248,0.12943,0.27139,0.32303,0.63144,0.79034
maximum_ndvi,60000.0,0.71025,0.09157,0.41088,0.64041,0.69224,0.78074,0.95
std,60000.0,0.07294,0.02807,0.01778,0.03831,0.07734,0.09032,0.18817
cv,60000.0,0.15019,0.07324,0.02259,0.05109,0.16393,0.2019,0.40577
amp,60000.0,0.22123,0.08461,0.05194,0.12229,0.23287,0.27792,0.54475
sen,60000.0,-0.00024,0.00171,-0.01705,-0.00068,-0.00011,0.00043,0.01773
ols_slope,60000.0,-0.00025,0.00175,-0.01679,-0.00068,-7e-05,0.00047,0.0173
mk_z,60000.0,-0.19812,1.3998,-14.31491,-0.77639,-0.12259,0.48736,31.67847
mk_p_value,60000.0,0.50798,0.30701,0.0,0.24696,0.52205,0.77485,1.0
mk_tau,60000.0,-0.01926,0.13121,-0.87143,-0.0746,-0.0127,0.04762,0.87619
mk_significant,60000.0,0.099,0.29866,0.0,0.0,0.0,0.0,1.0
trend_direction,60000.0,-0.1144,0.99307,-1.0,-1.0,-1.0,1.0,1.0
rain_mean,60000.0,1756.30884,126.83633,1537.03357,1646.48929,1756.13562,1866.13718,1976.82959
rain_std,60000.0,254.20773,18.37357,221.24834,238.28971,254.33299,270.26656,287.88187
rain_cv,60000.0,0.14474,0.00027,0.1437,0.14456,0.14475,0.14492,0.14579
rain_sen,60000.0,-0.9454,0.1195,-1.35189,-1.02891,-0.9471,-0.86243,-0.48051
rain_ndvi_correlation,60000.0,0.64764,0.27055,-0.25243,0.44478,0.69998,0.89524,0.96895
restrend,60000.0,-6e-05,0.00177,-0.01665,-0.00051,9e-05,0.00069,0.01743
restrend_p_value,60000.0,0.40351,0.31149,0.0,0.10909,0.36346,0.67277,0.99999
restrend_r2,60000.0,0.50628,0.31053,0.0,0.22136,0.5007,0.81616,0.95435
restrend_beta,60000.0,0.00018,0.0001,-0.0001,8e-05,0.00018,0.00027,0.0004
restrend_significant,60000.0,0.16765,0.37356,0.0,0.0,0.0,0.0,1.0
cyc_score,60000.0,0.54052,0.11028,0.0453,0.4764,0.54743,0.61314,0.91897
cyc_enrichment,60000.0,1.38991,0.28359,0.11649,1.22503,1.40767,1.57665,2.36306
cyc_period,60000.0,7.19909,1.1942,4.0,7.2,7.2,7.2,12.0
cyc_band_power,60000.0,2.2102,1.63867,0.04459,0.4795,2.09778,2.91779,9.48352
cyc_total_power,60000.0,3.81657,2.45689,0.21715,0.96217,3.86437,5.03746,13.2709
cyclicity_periodic,60000.0,0.00798,0.08899,0.0,0.0,0.0,0.0,1.0
has_break,60000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
break_t,60000.0,0.52034,0.26836,0.11111,0.25,0.52778,0.86111,0.86111
break_dslope,60000.0,-0.01462,0.03187,-0.10112,-0.03966,-0.00809,0.00105,0.17385
break_gain,60000.0,0.16551,0.07049,0.03655,0.12301,0.15202,0.18926,0.81316
breakpoint_index,60000.0,18.73232,9.66083,4.0,9.0,19.0,31.0,31.0
breakpoint_significant,60000.0,0.02642,0.16037,0.0,0.0,0.0,0.0,1.0
pre_breakpoint_level,60000.0,0.56858,0.14331,0.21378,0.45846,0.55496,0.68974,0.90869
post_breakpoint_minimum,60000.0,0.42209,0.18079,0.12943,0.28804,0.3482,0.64023,0.83118
disturbance_magnitude,60000.0,0.14183,0.11409,0.0,0.05929,0.10844,0.23568,0.53782
has_disturbance,60000.0,0.79337,0.40489,0.0,1.0,1.0,1.0,1.0
recovery_magnitude,60000.0,0.08035,0.09768,0.0,0.0,0.0304,0.15546,0.58781
recovery_fraction,60000.0,0.47069,0.66008,0.0,0.0,0.15059,0.80428,8.42822
recovery_duration,60000.0,0.92095,1.38541,0.0,0.0,0.0,2.0,13.0
recovery_slope,60000.0,0.00514,0.01704,-0.01698,0.0,0.0,0.00413,0.22365
recovery_status,60000.0,1.6294,1.51851,0.0,1.0,1.0,4.0,4.0
n_valid_ndvi,60000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
n_valid_pairs,60000.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0
